,Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm)
0,Afghanistan,AFG,Men,1896,161.1640953,154.4842849,167.7540333
101,Albania,ALB,Men,1896,163.3251405,158.4469094,168.32439519999997
202,Algeria,DZA,Men,1896,160.3880782,155.4030895,165.40279650000005
303,American Samoa,ASM,Men,1896,169.7157095,167.420949,172.02013430000005
404,Andorra,AND,Men,1896,163.3876867,156.8840631,169.7329239
505,Angola,AGO,Men,1896,162.1711478,154.81482649999995,169.48219640000005
606,Antigua and Barbuda,ATG,Men,1896,161.7119395,155.11640880000004,168.3497699
707,Argentina,ARG,Men,1896,162.3372683,157.53589250000005,167.05181519999996
808,Armenia,ARM,Men,1896,161.8522126,155.9937164,168.02440019999997
909,Australia,AUS,Men,1896,168.9472939,166.9391975,170.9443445
1010,Austria,AUT,Men,1896,168.0259131,165.4793645,170.5590531
1111,Azerbaijan,AZE,Men,1896,161.6698695,155.8658493,168.0064334
1212,Bahamas,BHS,Men,1896,161.7279987,155.1657457,168.3639085
1313,Bahrain,BHR,Men,1896,156.71157480000005,152.45115890000002,160.9057686
1414,Bangladesh,BGD,Men,1896,158.5828115,154.1448881,162.7996883
1515,Barbados,BRB,Men,1896,164.8512084,160.5797896,169.1437312
1616,Belarus,BLR,Men,1896,167.7321638,160.8549749,174.7304153
1717,Belgium,BEL,Men,1896,167.2005018,165.2008421,169.3039398
1818,Belize,BLZ,Men,1896,158.1317857,153.21556230000004,162.9439292
1919,Benin,BEN,Men,1896,162.5136665,157.08645980000003,168.02480880000005
2020,Bermuda,BMU,Men,1896,161.7486271,155.0494291,168.37816830000003
2121,Bhutan,BTN,Men,1896,161.2663761,156.495175,166.0570218
2222,Bolivia,BOL,Men,1896,156.3177494,150.2769706,162.357642
2323,Bosnia and Herzegovina,BIH,Men,1896,168.4237228,163.6645138,173.12411369999995
2424,Botswana,BWA,Men,1896,166.186299,160.5793743,171.8537
2525,Brazil,BRA,Men,1896,163.21356699999995,160.7956154,165.6625892
2626,Brunei Darussalam,BRN,Men,1896,155.7887199,148.983421,162.1948758
2727,Bulgaria,BGR,Men,1896,166.45799530000005,160.01357180000005,172.95052819999995
2828,Burkina Faso,BFA,Men,1896,163.49405159999995,157.93368619999995,168.8558803
2929,Burundi,BDI,Men,1896,161.5889418,154.8671469,168.57677919999998
3030,Cabo Verde,CPV,Men,1896,164.8591582,159.42328,170.08227380000002
3131,Cambodia,KHM,Men,1896,154.8768311,150.2350915,159.6097818
3232,Cameroon,CMR,Men,1896,163.506753,158.8508221,168.05159790000005
3333,Canada,CAN,Men,1896,170.7237827,167.8332311,173.76934680000005
3434,Central African Republic,CAF,Men,1896,161.3638975,155.5248479,167.2548256
3535,Chad,TCD,Men,1896,164.8946645,159.1744118,170.4599593
3636,Chile,CHL,Men,1896,160.6940962,157.3007075,164.1502775
3737,China,CHN,Men,1896,160.9729313,159.1951595,162.7386606
3838,China (Hong Kong SAR),HKG,Men,1896,159.7144285,156.9161346,162.4870666
3939,Colombia,COL,Men,1896,157.3010283,152.3701846,162.2491742
4040,Comoros,COM,Men,1896,159.7224937,154.3581023,164.9296774
4141,Congo,COG,Men,1896,161.8841406,157.42082209999995,166.4317692
4242,Cook Islands,COK,Men,1896,169.4534975,164.8594074,174.0611767
4343,Costa Rica,CRI,Men,1896,157.6834822,153.7252727,161.71308290000005
4444,Cote d'Ivoire,CIV,Men,1896,162.6370717,157.7433591,167.6637383
4545,Croatia,HRV,Men,1896,168.12798080000005,163.6415854,172.5300467
4646,Cuba,CUB,Men,1896,159.8781635,155.6698725,164.0451369
4747,Cyprus,CYP,Men,1896,162.7347566,157.1337469,168.2704445
4848,Czech Republic,CZE,Men,1896,167.99993909999995,164.0440483,171.9123489
4949,Denmark,DNK,Men,1896,169.9655954,166.7057961,173.1150305
5050,Djibouti,DJI,Men,1896,161.507136,154.76777969999995,168.2374468
5151,Dominica,DMA,Men,1896,164.4652394,159.317483,169.4556862
5252,Dominican Republic,DOM,Men,1896,160.26256909999995,155.2674812,165.2491772
5353,DR Congo,COD,Men,1896,161.8357556,156.1080968,167.25631030000002
5454,Ecuador,ECU,Men,1896,155.6286833,150.0568807,161.5499059
5555,Egypt,EGY,Men,1896,158.6356864,155.1433164,162.20249030000005
5656,El Salvador,SLV,Men,1896,158.47360890000004,153.1816215,163.4936716
5757,Equatorial Guinea,GNQ,Men,1896,162.12138190000005,154.8944431,169.232719
5858,Eritrea,ERI,Men,1896,163.79437,158.5180938,169.2181974
5959,Estonia,EST,Men,1896,170.8749353,167.18705380000003,174.5921068
6060,Ethiopia,ETH,Men,1896,161.27819430000002,156.0039011,166.7056246
6161,Fiji,FJI,Men,1896,168.6022921,164.2133345,173.1527279
6262,Finland,FIN,Men,1896,167.7444389,165.5783744,169.9223863
6363,France,FRA,Men,1896,166.4123227,163.0532216,169.6728999
6464,French Polynesia,PYF,Men,1896,170.0351444,165.66555559999995,174.5430978
6565,Gabon,GAB,Men,1896,162.6843286,156.8806873,168.3342039
6666,Gambia,GMB,Men,1896,160.7124449,155.2947674,166.27135249999995
6767,Georgia,GEO,Men,1896,164.4082895,158.64662030000005,170.39422480000005
6868,Germany,DEU,Men,1896,167.15762790000005,164.48889590000005,169.87951030000005
6969,Ghana,GHA,Men,1896,162.373302,157.524999,167.10771110000005
7070,Greece,GRC,Men,1896,162.5172116,159.0346842,166.0691525
7171,Greenland,GRL,Men,1896,159.4643938,155.4122875,163.3869271
