,Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm)
7272,Grenada,GRD,Men,1896,164.5220181,159.2608094,169.58436619999995
7373,Guatemala,GTM,Men,1896,153.8830989,148.824145,158.92810980000004
7474,Guinea,GIN,Men,1896,163.3555357,157.8978283,168.8159677
7575,Guinea Bissau,GNB,Men,1896,162.84700759999996,156.0851579,169.7271845
7676,Guyana,GUY,Men,1896,159.9085565,154.56401110000004,165.22096509999997
7777,Haiti,HTI,Men,1896,161.6928737,155.0484561,168.32512309999996
7878,Honduras,HND,Men,1896,158.3733925,153.4387819,163.4149409
7979,Hungary,HUN,Men,1896,166.3111196,163.7552154,168.8244786
8080,Iceland,ISL,Men,1896,170.5397645,167.0901572,173.99839519999998
8181,India,IND,Men,1896,161.9607258,160.25428730000004,163.61424330000003
8282,Indonesia,IDN,Men,1896,154.64570690000005,151.64183480000003,157.6620541
8383,Iran,IRN,Men,1896,157.05836069999995,153.9271013,160.2133366
8484,Iraq,IRQ,Men,1896,159.2569036,152.71280380000005,165.5504255
8585,Ireland,IRL,Men,1896,166.36458430000005,162.4197108,170.2754643
8686,Israel,ISR,Men,1896,163.4033931,159.92971540000005,166.7999799
8787,Italy,ITA,Men,1896,164.7109285,162.998441,166.39435
8888,Jamaica,JAM,Men,1896,163.0589856,158.35890659999995,167.9335757
8989,Japan,JPN,Men,1896,156.1669497,155.3290164,157.0193865
9090,Jordan,JOR,Men,1896,158.88979740000005,154.81951919999997,162.9899311
9191,Kazakhstan,KAZ,Men,1896,161.23270569999997,153.96592890000005,168.8664128
9292,Kenya,KEN,Men,1896,165.7200717,159.9670416,171.2786595
9393,Kiribati,KIR,Men,1896,166.8425834,164.9029206,168.7424896
9494,Kuwait,KWT,Men,1896,160.50538930000005,155.8403383,165.10559630000003
9595,Kyrgyzstan,KGZ,Men,1896,160.24993,154.1278349,166.35019219999995
9696,Lao PDR,LAO,Men,1896,152.8846243,147.8672095,157.9026897
9797,Latvia,LVA,Men,1896,169.3805162,164.6839645,173.9560864
9898,Lebanon,LBN,Men,1896,160.71373730000005,156.3921283,164.86686509999996
9999,Lesotho,LSO,Men,1896,161.3197288,155.61965790000005,167.12615209999996
10100,Liberia,LBR,Men,1896,158.6710908,152.9904766,164.2288898
10201,Libya,LBY,Men,1896,161.2645109,156.43610880000003,166.0269239
10302,Lithuania,LTU,Men,1896,168.92890380000003,165.1874456,172.5962686
10403,Luxembourg,LUX,Men,1896,167.33001950000005,163.1653589,171.7066836
10504,Macedonia (TFYR),MKD,Men,1896,166.5094595,160.1723918,173.1346993
10605,Madagascar,MDG,Men,1896,158.6822316,153.0142449,164.11274509999996
10706,Malawi,MWI,Men,1896,159.2063688,153.8697801,164.44395219999996
10807,Malaysia,MYS,Men,1896,157.5712063,154.0663544,161.0911074
10908,Maldives,MDV,Men,1896,155.8334727,150.5801769,160.8449225
11009,Mali,MLI,Men,1896,165.0884482,159.4978649,170.72377590000005
11110,Malta,MLT,Men,1896,161.8887886,157.5751085,166.31554780000005
11211,Marshall Islands,MHL,Men,1896,162.2937014,157.7767659,167.0072007
11312,Mauritania,MRT,Men,1896,161.51774819999997,155.768801,166.9931947
11413,Mauritius,MUS,Men,1896,160.6330436,157.0821936,164.2669991
11514,Mexico,MEX,Men,1896,156.7489377,153.38860630000005,160.0412523
11615,Micronesia (Federated States of),FSM,Men,1896,164.65587040000003,160.0540976,169.4233469
11716,Moldova,MDA,Men,1896,164.632281,159.7469395,169.54038300000005
11817,Mongolia,MNG,Men,1896,159.0961104,153.2042182,164.9985597
11918,Montenegro,MNE,Men,1896,166.456003,160.0707063,172.82651030000005
12019,Morocco,MAR,Men,1896,159.2076618,152.7758976,165.47145790000005
12120,Mozambique,MOZ,Men,1896,159.122012,153.988821,164.330344
12221,Myanmar,MMR,Men,1896,157.31228810000005,152.6101705,161.9105622
12322,Namibia,NAM,Men,1896,164.1962349,158.77972759999997,169.78999530000004
12423,Nauru,NRU,Men,1896,164.808025,162.8060735,166.7872775
12524,Nepal,NPL,Men,1896,157.5519113,153.180879,161.8093781
12625,Netherlands,NLD,Men,1896,169.4319209,167.7229454,171.0828591
12726,New Zealand,NZL,Men,1896,167.4843803,164.99618030000005,170.0814559
12827,Nicaragua,NIC,Men,1896,157.18522769999996,152.13047509999996,162.1995666
12928,Niger,NER,Men,1896,163.8958698,158.6361113,169.0232795
13029,Nigeria,NGA,Men,1896,161.0466842,156.6732906,165.33232969999997
13130,Niue,NIU,Men,1896,168.5982148,164.3929386,172.7439379
13231,North Korea,PRK,Men,1896,160.5756276,153.71686509999995,167.42152119999997
13332,Norway,NOR,Men,1896,171.2400832,170.4866264,171.97652250000004
13433,Occupied Palestinian Territory,PSE,Men,1896,160.8580267,156.1268977,165.590015
13534,Oman,OMN,Men,1896,155.7544225,151.368879,160.0851491
13635,Pakistan,PAK,Men,1896,165.67585309999996,162.76380790000005,168.61085659999995
13736,Palau,PLW,Men,1896,164.14289730000004,159.58451409999995,168.8041821
13837,Panama,PAN,Men,1896,156.9816763,151.95810680000002,161.9764824
13938,Papua New Guinea,PNG,Men,1896,159.2884617,154.8213135,164.0038723
14039,Paraguay,PRY,Men,1896,162.0424687,155.14802759999995,168.8511124
14140,Peru,PER,Men,1896,154.9275477,150.4643855,159.3128897
14241,Philippines,PHL,Men,1896,154.72840359999995,149.49853159999995,159.866788
14342,Poland,POL,Men,1896,163.6641238,160.3120751,167.0366759
14443,Portugal,PRT,Men,1896,158.9587779,155.1414145,162.77650780000005
14544,Puerto Rico,PRI,Men,1896,160.4968281,156.4046436,164.5249001
14645,Qatar,QAT,Men,1896,159.22058909999996,154.365298,163.9649604
14746,Romania,ROU,Men,1896,163.81938459999995,159.06052769999997,168.5446409
14847,Russian Federation,RUS,Men,1896,166.9691248,164.4935135,169.4474534
14948,Rwanda,RWA,Men,1896,159.94559180000005,154.24485330000005,165.57940980000004
15049,Saint Kitts and Nevis,KNA,Men,1896,160.30184640000004,154.8946343,165.9051483
15150,Saint Lucia,LCA,Men,1896,162.00648069999997,156.79496,167.32784530000004
15251,Saint Vincent and the Grenadines,VCT,Men,1896,161.76973230000004,155.2840771,168.3286097
15352,Samoa,WSM,Men,1896,169.1402547,165.77872580000005,172.43684199999996
15453,Sao Tome and Principe,STP,Men,1896,162.1909908,156.8599592,167.2752191
15554,Saudi Arabia,SAU,Men,1896,158.1312369,154.2556475,161.8912421
15655,Senegal,SEN,Men,1896,166.66984519999997,161.2774791,172.0112514
15756,Serbia,SRB,Men,1896,167.4434649,163.86504530000005,171.0314323
15857,Seychelles,SYC,Men,1896,165.4758842,160.724727,170.38066
15958,Sierra Leone,SLE,Men,1896,160.5578048,155.100884,166.155754
16059,Singapore,SGP,Men,1896,162.858471,160.18717980000002,165.55189769999996
16160,Slovakia,SVK,Men,1896,168.33941969999995,163.6721052,173.1287322
16261,Slovenia,SVN,Men,1896,167.3780695,161.92788230000005,172.98979269999995
16362,Solomon Islands,SLB,Men,1896,160.8480129,156.3055803,165.2716063
16463,Somalia,SOM,Men,1896,161.4491738,154.5192491,168.2668645
16564,South Africa,ZAF,Men,1896,165.2601636,161.28258300000005,169.2348487
16665,South Korea,KOR,Men,1896,159.75179430000003,156.8821887,162.532937
16766,Spain,ESP,Men,1896,162.2902593,159.40132119999996,165.1485727
16867,Sri Lanka,LKA,Men,1896,156.92388569999997,152.3480834,161.39535039999996
16968,Sudan,SDN,Men,1896,161.505056,154.5615621,168.4804585
17069,Suriname,SUR,Men,1896,161.7154717,155.18159530000003,168.442444
17170,Swaziland,SWZ,Men,1896,163.2202147,157.6280712,168.72252969999997
17271,Sweden,SWE,Men,1896,171.8963521,169.49270090000005,174.2378479
17372,Switzerland,CHE,Men,1896,167.5317823,165.0748738,169.904405
17473,Syrian Arab Republic,SYR,Men,1896,159.2369707,152.7622048,165.8043175
17574,Taiwan,TWN,Men,1896,161.31410290000005,158.53194409999998,163.97820900000005
17675,Tajikistan,TJK,Men,1896,161.3933484,154.19102759999996,168.76402050000004
17776,Tanzania,TZA,Men,1896,160.7866658,155.6369511,165.93565769999995
17877,Thailand,THA,Men,1896,158.4564143,155.750777,161.1740161
17978,Timor-Leste,TLS,Men,1896,153.03111919999995,148.330386,157.9606323
18079,Togo,TGO,Men,1896,162.7865639,157.60688159999995,167.9492325
18180,Tokelau,TKL,Men,1896,168.1455309,163.3664989,172.8883343
18281,Tonga,TON,Men,1896,170.41140049999996,165.61304750000005,175.05643490000003
18382,Trinidad and Tobago,TTO,Men,1896,163.9000569,158.7062681,168.9949339
18483,Tunisia,TUN,Men,1896,164.0707253,160.4086566,167.7648428
18584,Turkey,TUR,Men,1896,160.3220675,157.3245138,163.24102150000004
18685,Turkmenistan,TKM,Men,1896,161.6995576,155.84241550000004,167.719602
18786,Tuvalu,TUV,Men,1896,165.3558375,161.4408798,169.23728369999995
18887,Uganda,UGA,Men,1896,162.1782606,156.6423396,167.8384226
18988,Ukraine,UKR,Men,1896,167.70099299999995,161.0055169,174.374885
19089,United Arab Emirates,ARE,Men,1896,159.3043582,152.8263013,165.62592880000003
19190,United Kingdom,GBR,Men,1896,166.8722859,165.0915478,168.69854850000004
19291,United States of America,USA,Men,1896,171.0792721,169.8881331,172.260045
19392,Uruguay,URY,Men,1896,163.80951919999995,159.4895169,168.1049965
19493,Uzbekistan,UZB,Men,1896,161.08549150000005,155.2426935,167.4104323
19594,Vanuatu,VUT,Men,1896,163.58745459999997,158.7241041,168.3797063
19695,Venezuela,VEN,Men,1896,159.9618626,154.85678080000002,165.0373174
19796,Viet Nam,VNM,Men,1896,155.2978351,152.5409409,158.0270546
19897,Yemen,YEM,Men,1896,154.5043735,150.2894645,158.87586069999998
19998,Zambia,ZMB,Men,1896,162.2079272,156.90475969999997,167.7051112
20099,Zimbabwe,ZWE,Men,1896,164.77699740000003,159.27653759999995,170.2452472
20200,Afghanistan,AFG,Women,1896,149.1877469,144.10146830000005,154.29747369999995
20301,Albania,ALB,Women,1896,150.19613069999997,145.4071516,155.28704319999997
20402,Algeria,DZA,Women,1896,151.8636633,147.0559783,156.6074507
20503,American Samoa,ASM,Women,1896,158.1973839,155.9985907,160.3984677
20604,Andorra,AND,Women,1896,152.43881969999995,146.18891240000005,158.7158201
20705,Angola,AGO,Women,1896,152.60158230000005,146.0894804,159.51475569999997
20806,Antigua and Barbuda,ATG,Women,1896,150.6060811,144.3798866,156.9938895
20907,Argentina,ARG,Women,1896,150.5902533,146.0468647,154.92487319999995
21008,Armenia,ARM,Women,1896,149.63152390000005,144.07722980000003,155.2727858
21109,Australia,AUS,Women,1896,155.4920883,153.5724085,157.35400880000003
21210,Austria,AUT,Women,1896,157.5529094,155.0402626,159.9788447
21311,Azerbaijan,AZE,Women,1896,149.933227,144.5082927,155.4592794
21412,Bahamas,BHS,Women,1896,150.5614812,144.3911771,157.01072659999997
21513,Bahrain,BHR,Women,1896,149.660765,145.67695580000003,153.7049486
21614,Bangladesh,BGD,Women,1896,141.48221740000002,137.5544294,145.397026
21715,Barbados,BRB,Women,1896,152.0596281,148.26914240000005,155.8707213
21816,Belarus,BLR,Women,1896,153.967646,147.7147394,160.4127385
21917,Belgium,BEL,Women,1896,155.4215595,153.5692033,157.2980701
22018,Belize,BLZ,Women,1896,146.1806751,141.76067659999995,150.54347869999995
22119,Benin,BEN,Women,1896,153.1605988,148.2231637,158.1287921
22220,Bermuda,BMU,Women,1896,150.5186955,144.1380142,156.7587707
22321,Bhutan,BTN,Women,1896,146.9703144,142.4821895,151.43833569999995
22422,Bolivia,BOL,Women,1896,143.19480159999995,138.08790469999997,148.4949138
22523,Bosnia and Herzegovina,BIH,Women,1896,153.8445791,149.4288874,158.244637
22624,Botswana,BWA,Women,1896,156.0335835,150.83036940000005,161.2450601
22725,Brazil,BRA,Women,1896,150.1675257,147.983753,152.3589245
22826,Brunei Darussalam,BRN,Women,1896,145.7423875,139.7259409,151.9622249
22927,Bulgaria,BGR,Women,1896,152.1899146,145.9878495,158.2686177
23028,Burkina Faso,BFA,Women,1896,156.1686886,151.01176740000002,161.4257505
23129,Burundi,BDI,Women,1896,151.1353035,145.89474280000005,156.4122477
23230,Cabo Verde,CPV,Women,1896,154.640774,149.5321321,159.6882956
23331,Cambodia,KHM,Women,1896,146.2330127,141.49191299999995,150.95927659999995
23432,Cameroon,CMR,Women,1896,153.7977928,150.1691282,157.3946424
23533,Canada,CAN,Women,1896,157.6144497,154.9838808,160.2831316
23634,Central African Republic,CAF,Women,1896,152.10144330000003,146.6752216,157.3862544
23735,Chad,TCD,Women,1896,156.692656,151.51992009999995,161.8993961
23836,Chile,CHL,Women,1896,147.5940741,144.6524636,150.6287116
23937,China,CHN,Women,1896,150.15531130000005,148.6718764,151.6733748
24038,China (Hong Kong SAR),HKG,Women,1896,146.0280957,143.6189955,148.38128830000005
24139,Colombia,COL,Women,1896,144.0232321,139.5029022,148.49688700000004
24240,Comoros,COM,Women,1896,150.5352122,145.3806607,155.6057291
24341,Congo,COG,Women,1896,152.5143648,148.53310919999996,156.3378278
24442,Cook Islands,COK,Women,1896,156.1462794,151.6592385,160.6540537
24543,Costa Rica,CRI,Women,1896,142.7262435,139.19293869999998,146.2983046
24644,Cote d'Ivoire,CIV,Women,1896,153.51726010000004,148.49362230000003,158.4948749
24745,Croatia,HRV,Women,1896,150.08127919999995,146.2382141,153.9500288
24846,Cuba,CUB,Women,1896,149.24678559999995,145.5599089,152.8554236
24947,Cyprus,CYP,Women,1896,152.07649809999995,146.4308635,157.66388999999995
25048,Czech Republic,CZE,Women,1896,152.7550142,149.1285841,156.3906322
25149,Denmark,DNK,Women,1896,157.1216086,154.0510864,160.2774842
25250,Djibouti,DJI,Women,1896,151.79019319999998,145.5256363,158.4741341
25351,Dominica,DMA,Women,1896,152.81165090000005,147.991474,157.8402623
25452,Dominican Republic,DOM,Women,1896,148.9246605,143.96770930000002,153.808059
25553,DR Congo,COD,Women,1896,151.00073480000003,145.9583596,155.8737873
25654,Ecuador,ECU,Women,1896,143.00137859999995,137.8077438,148.31952080000005
25755,Egypt,EGY,Women,1896,148.7154916,145.3834648,151.9305769
25856,El Salvador,SLV,Women,1896,141.2099364,136.98183390000003,145.5779548
25957,Equatorial Guinea,GNQ,Women,1896,152.6103735,145.9558624,159.37827380000004
26058,Eritrea,ERI,Women,1896,152.1109021,147.303022,157.078444
26159,Estonia,EST,Women,1896,156.47306890000004,153.2747017,159.6649233
26260,Ethiopia,ETH,Women,1896,152.17166809999995,147.20784790000005,157.13640790000005
26361,Fiji,FJI,Women,1896,153.4737372,149.1910939,157.6494034
26462,Finland,FIN,Women,1896,153.9286283,151.3795685,156.51046269999995
26563,France,FRA,Women,1896,155.3419373,152.3589795,158.3381999
26664,French Polynesia,PYF,Women,1896,156.29808789999996,151.8551491,160.86468200000004
26765,Gabon,GAB,Women,1896,152.9220871,147.6832332,158.3526241
26866,Gambia,GMB,Women,1896,155.5234379,150.26011330000003,160.7551553
26967,Georgia,GEO,Women,1896,153.6128055,148.3377256,159.17238559999996
27068,Germany,DEU,Women,1896,155.9932746,153.4504579,158.4575858
27169,Ghana,GHA,Women,1896,153.31085900000005,149.1915226,157.3493432
27270,Greece,GRC,Women,1896,150.5700312,147.4600265,153.690921
27371,Greenland,GRL,Women,1896,147.03884309999995,143.2256414,150.8523052
27472,Grenada,GRD,Women,1896,153.8012077,148.9030954,158.8415061
27573,Guatemala,GTM,Women,1896,140.2900499,135.80953069999998,144.8446939
27674,Guinea,GIN,Women,1896,153.6233736,148.39833059999995,158.6723371
27775,Guinea Bissau,GNB,Women,1896,152.7257194,147.34893180000003,157.890522
27876,Guyana,GUY,Women,1896,148.656375,143.4760862,153.8125499
27977,Haiti,HTI,Women,1896,149.7315691,144.8158369,154.8412972
28078,Honduras,HND,Women,1896,143.5183481,139.2411768,147.93030280000005
28179,Hungary,HUN,Women,1896,153.2540929,150.972076,155.5448012
28280,Iceland,ISL,Women,1896,158.55120469999997,155.3790743,161.8296689
28381,India,IND,Women,1896,147.9701446,146.372445,149.63551669999995
28482,Indonesia,IDN,Women,1896,144.7033019,142.1766261,147.2530543
28583,Iran,IRN,Women,1896,148.5402864,145.5300338,151.5594836
28684,Iraq,IRQ,Women,1896,149.68380359999995,143.3943275,156.02850159999997
28785,Ireland,IRL,Women,1896,153.9522376,150.5228137,157.3355512
28886,Israel,ISR,Women,1896,151.9953482,148.9095116,155.0965009
28987,Italy,ITA,Women,1896,153.5036757,151.9270368,155.0631076
29088,Jamaica,JAM,Women,1896,152.2607242,147.77359180000005,156.6788659
29189,Japan,JPN,Women,1896,142.29357380000005,141.43432819999995,143.1328879
29290,Jordan,JOR,Women,1896,150.20482909999996,145.9324706,154.5306909
29391,Kazakhstan,KAZ,Women,1896,151.13414640000005,145.83878130000005,156.766379
29492,Kenya,KEN,Women,1896,155.90313490000003,151.151494,160.9296461
29593,Kiribati,KIR,Women,1896,151.7364747,149.65423959999995,153.8191409
29694,Kuwait,KWT,Women,1896,150.2604773,145.80549240000005,154.7168305
29795,Kyrgyzstan,KGZ,Women,1896,150.1847449,144.7276226,155.72495930000005
29896,Lao PDR,LAO,Women,1896,144.6876576,139.7070674,149.677867
29997,Latvia,LVA,Women,1896,155.5115084,151.1780344,160.0594757
30098,Lebanon,LBN,Women,1896,149.61207869999996,145.29336909999995,153.90593669999996
30199,Lesotho,LSO,Women,1896,153.0635767,147.6683648,158.5432249
30300,Liberia,LBR,Women,1896,151.61730380000003,146.3517228,156.9755508
30401,Libya,LBY,Women,1896,150.1781293,145.4381726,154.9813459
30502,Lithuania,LTU,Women,1896,154.08902450000005,150.6557061,157.4832971
30603,Luxembourg,LUX,Women,1896,154.82763930000004,150.5865921,159.0260574
30704,Macedonia (TFYR),MKD,Women,1896,149.57539730000005,144.4817456,154.8089908
30805,Madagascar,MDG,Women,1896,149.6772632,144.6211191,154.757713
30906,Malawi,MWI,Women,1896,151.4109683,146.43075530000004,156.6184313
31007,Malaysia,MYS,Women,1896,147.5429818,144.68632240000005,150.50427280000005
31108,Maldives,MDV,Women,1896,143.8877777,138.8189872,148.70125080000003
31209,Mali,MLI,Women,1896,156.066519,150.9727117,161.2268452
31310,Malta,MLT,Women,1896,150.1929001,146.31333480000004,154.0685532
31411,Marshall Islands,MHL,Women,1896,148.7138013,144.32679040000005,152.99225249999995
31512,Mauritania,MRT,Women,1896,154.9598267,149.49352439999996,160.2389553
31613,Mauritius,MUS,Women,1896,148.1228191,144.8911125,151.3365107
31714,Mexico,MEX,Women,1896,143.4769682,140.4155616,146.5101041
31815,Micronesia (Federated States of),FSM,Women,1896,152.4452897,147.95449240000005,156.8770685
31916,Moldova,MDA,Women,1896,152.2547654,147.3270957,157.18629319999997
32017,Mongolia,MNG,Women,1896,147.8937867,142.6294575,153.50679419999997
32118,Montenegro,MNE,Women,1896,152.15216730000003,145.8918424,158.27644719999995
32219,Morocco,MAR,Women,1896,150.771512,145.6423596,155.78274009999996
32320,Mozambique,MOZ,Women,1896,150.8672115,145.6209571,156.0855559
32421,Myanmar,MMR,Women,1896,145.5983893,141.2862289,149.84397880000003
32522,Namibia,NAM,Women,1896,156.7994821,151.90967959999998,161.74229169999995
32623,Nauru,NRU,Women,1896,151.78885659999997,149.32908390000003,154.1503276
32724,Nepal,NPL,Women,1896,144.136274,140.4494908,147.8186291
32825,Netherlands,NLD,Women,1896,154.8244089,152.8511226,156.7751695
32926,New Zealand,NZL,Women,1896,155.957409,153.6754984,158.3175538
33027,Nicaragua,NIC,Women,1896,146.11040459999995,141.926671,150.3719866
33128,Niger,NER,Women,1896,156.27553659999995,151.1726944,161.40859019999996
33229,Nigeria,NGA,Women,1896,153.12522080000005,149.2695318,156.9800034
33330,Niue,NIU,Women,1896,152.06373469999997,148.105693,155.9452128
33431,North Korea,PRK,Women,1896,149.1217013,142.62964730000004,155.6569836
33532,Norway,NOR,Women,1896,159.22226030000004,158.47255080000005,159.9544584
33633,Occupied Palestinian Territory,PSE,Women,1896,150.8667603,146.2368748,155.3666664
33734,Oman,OMN,Women,1896,146.80512009999995,142.57550519999995,150.9681279
33835,Pakistan,PAK,Women,1896,150.5970367,147.76277869999996,153.38706430000005
33936,Palau,PLW,Women,1896,151.9969267,147.3649552,156.5900782
34037,Panama,PAN,Women,1896,144.48719780000005,139.7413964,149.27837649999995
34138,Papua New Guinea,PNG,Women,1896,149.915849,145.5460531,154.43264430000005
34239,Paraguay,PRY,Women,1896,149.1793445,142.7568752,155.48813180000005
34340,Peru,PER,Women,1896,141.48179040000005,137.6286331,145.5147608
34441,Philippines,PHL,Women,1896,147.89569330000003,143.6183101,152.1794622
34542,Poland,POL,Women,1896,150.53937539999995,147.5096543,153.4009222
34643,Portugal,PRT,Women,1896,150.4601817,146.9257133,153.9486325
34744,Puerto Rico,PRI,Women,1896,147.3009449,143.5954491,150.9307364
34845,Qatar,QAT,Women,1896,150.4273823,145.53873090000005,155.1629816
34946,Romania,ROU,Women,1896,151.07169,146.6683076,155.4625477
35047,Russian Federation,RUS,Women,1896,153.586677,151.5982614,155.514198
35148,Rwanda,RWA,Women,1896,152.267627,147.0517846,157.557886
35249,Saint Kitts and Nevis,KNA,Women,1896,152.7186892,147.3758458,157.99689530000003
35350,Saint Lucia,LCA,Women,1896,153.65926159999995,148.6117455,158.83919709999995
35451,Saint Vincent and the Grenadines,VCT,Women,1896,150.5618446,143.90935090000005,157.0981113
35552,Samoa,WSM,Women,1896,157.207334,154.5413595,159.7818452
35653,Sao Tome and Principe,STP,Women,1896,152.88611819999997,147.8851238,157.73943290000003
35754,Saudi Arabia,SAU,Women,1896,149.1177415,145.4660197,152.9821459
35855,Senegal,SEN,Women,1896,156.9402491,151.9242917,162.0924558
35956,Serbia,SRB,Women,1896,151.9951454,148.8391021,155.2101711
36057,Seychelles,SYC,Women,1896,155.4512234,151.026819,159.780071
36158,Sierra Leone,SLE,Women,1896,152.41987690000005,147.2872749,157.648617
36259,Singapore,SGP,Women,1896,147.05400519999995,144.0573207,150.0452783
36360,Slovakia,SVK,Women,1896,155.5800129,151.35024,159.7566575
36461,Slovenia,SVN,Women,1896,152.5080303,147.01309840000005,158.050557
