,Country,ISO,Sex,Year of birth,Mean height (cm),Mean height lower 95% uncertainty interval (cm),Mean height upper 95% uncertainty interval (cm)
7271,Greenland,GRL,Men,1996,174.86611969999996,172.5554572,177.1798332
7372,Grenada,GRD,Men,1996,176.9666751,173.95783830000005,179.9558124
7473,Guatemala,GTM,Men,1996,163.4083889,160.0490019,166.75934080000005
7574,Guinea,GIN,Men,1996,167.5446232,164.62312880000005,170.3977979
7675,Guinea Bissau,GNB,Men,1996,167.8983809,162.2584317,173.44548840000004
7776,Guyana,GUY,Men,1996,170.2102541,168.2839289,172.3066614
7877,Haiti,HTI,Men,1996,172.6377544,166.8541906,178.5475827
7978,Honduras,HND,Men,1996,166.3933792,162.4514615,170.4156225
8079,Hungary,HUN,Men,1996,177.264876,173.6745126,180.911909
8180,Iceland,ISL,Men,1996,180.49156,176.69879519999995,184.2875359
8281,India,IND,Men,1996,164.9458981,164.1408927,165.7537938
8382,Indonesia,IDN,Men,1996,163.55165380000003,162.5766728,164.5263056
8483,Iran,IRN,Men,1996,173.5713082,172.7263953,174.4210493
8584,Iraq,IRQ,Men,1996,170.4300961,164.84013180000005,176.1762253
8685,Ireland,IRL,Men,1996,178.9251638,177.14894630000003,180.6296067
8786,Israel,ISR,Men,1996,176.859217,174.4753135,179.3235209
8887,Italy,ITA,Men,1996,177.7676279,175.5757147,179.9214472
8988,Jamaica,JAM,Men,1996,174.5282957,172.6524823,176.390383
9089,Japan,JPN,Men,1996,170.81764619999996,170.03929119999995,171.6067969
9190,Jordan,JOR,Men,1996,171.0322072,169.3650255,172.7885544
9291,Kazakhstan,KAZ,Men,1996,171.1440372,165.0837456,176.98753
9392,Kenya,KEN,Men,1996,169.6400915,165.0919276,174.3319435
9493,Kiribati,KIR,Men,1996,169.2042839,166.8493223,171.6301883
9594,Kuwait,KWT,Men,1996,172.0676564,170.78366210000004,173.35335880000005
9695,Kyrgyzstan,KGZ,Men,1996,171.239191,168.7090363,173.78151709999997
9796,Lao PDR,LAO,Men,1996,160.5189936,158.4341459,162.5725476
9897,Latvia,LVA,Men,1996,181.4223721,178.27481930000005,184.6752786
9998,Lebanon,LBN,Men,1996,174.38856850000005,172.35302109999995,176.44342609999995
10099,Lesotho,LSO,Men,1996,165.5897658,164.0996948,167.14064330000005
10200,Liberia,LBR,Men,1996,163.6602657,162.0338521,165.27755290000005
10301,Libya,LBY,Men,1996,173.5284006,170.8285376,176.1959105
10402,Lithuania,LTU,Men,1996,179.028358,176.115739,181.915942
10503,Luxembourg,LUX,Men,1996,177.8626466,175.1781332,180.6828601
